"","Row","NERR.Site.ID","Station.Code","Station.Name","Latitude","Longitude","Status","Active.Dates","State","Reserve.Name","Real.Time","HADS.ID","GMT.Offset","Station.Type","Region","isSWMP","color"
"14",437,"ace","acejiwq","Jehossee Island",32.6209,80.3965,"Active","Jan 2015","sc","Ashepoo Combahee Edisto Basin","","",-5,1,2,"S","#444E65"
"13",436,"ace","acegpwq","Grove Plantation",32.6637,80.413,"Active","Jan 2015","sc","Ashepoo Combahee Edisto Basin","R","3B04B1CE",-5,1,2,"S","#444E65"
"12",426,"ace","aceeinut","Edisto Island",32.50399,80.3247,"Active","Jan 2015-","sc","Ashepoo Combahee Edisto Basin","","",-5,2,2,"P","#444E65"
"11",425,"ace","aceeiwq","Edisto Island",32.50399,80.3247,"Active","Jan 2015-","sc","Ashepoo Combahee Edisto Basin","","",-5,1,2,"P","#444E65"
"10",10,"ace","acespwq","St. Pierre",32.5279,80.3615,"Active","Mar 1995-","sc","Ashepoo Combahee Edisto Basin","R","3B02F20A",-5,1,2,"P","#444E65"
"9",9,"ace","acespnut","St. Pierre",32.5279,80.3615,"Active","Jan 2002-","sc","Ashepoo Combahee Edisto Basin","","",-5,2,2,"P","#444E65"
"8",8,"ace","acercwq","Rock Creek",32.5485,80.5036,"Inactive","Mar 1996-May 1996","sc","Ashepoo Combahee Edisto Basin","","",-5,1,2,"P","#444E65"
"7",7,"ace","acemcwq","Mosquito Creek",32.5558,80.438,"Active","Oct 2002-","sc","Ashepoo Combahee Edisto Basin","","",-5,1,2,"P","#444E65"
"6",6,"ace","acemcnut","Mosquito Creek",32.5558,80.438,"Active","Mar 2002-","sc","Ashepoo Combahee Edisto Basin","","",-5,2,2,"P","#444E65"
"5",5,"ace","acefcwq","Fishing Creek",32.6358,80.3655,"Active","Oct 2002-","sc","Ashepoo Combahee Edisto Basin","","",-5,1,2,"P","#444E65"
"4",4,"ace","acefcnut","Fishing Creek",32.6358,80.3655,"Active","Mar 2002 -","sc","Ashepoo Combahee Edisto Basin","","",-5,2,2,"P","#444E65"
"3",3,"ace","acebpmet","Bennett's Point",32.559344,80.454558,"Active","Mar 2001-","sc","Ashepoo Combahee Edisto Basin","R","3B01E672",-5,0,2,"P","#BF9000"
"2",2,"ace","acebbwq","Big Bay",32.4941,80.3241,"Inactive","Mar 1995-Dec 2014","sc","Ashepoo Combahee Edisto Basin","","",-5,1,2,"P","#444E65"
"1",1,"ace","acebbnut","Big Bay",32.4941,80.3241,"Inactive","Feb 2002-Dec 2014","sc","Ashepoo Combahee Edisto Basin","","",-5,2,2,"P","#444E65"
