Row,NERR Site ID ,Station Code,Station Name,Lat Long,Latitude , Longitude, Status, Active Dates, State, Reserve Name,Real Time,HADS ID,GMT Offset,Station Type,Region,isSWMP
1,ace                                               ,acebbnut  ,Big Bay                                 ,32° 29' 38.76 N - 80° 19' 26.76 W,32.4941,80.3241,Inactive  ,Feb 2002-Dec 2014,sc        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,2,2,P
2,ace                                               ,acebbwq   ,Big Bay                                 ,32° 29' 38.76 N - 80° 19' 26.76 W,32.4941,80.3241,Inactive  ,Mar 1995-Dec 2014,sc        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,1,2,P
3,ace                                               ,acebpmet  ,Bennett's Point                         ,32° 33' 33.64 N - 80° 27' 16.41 W,32.559344,80.454558,Active    ,Mar 2001-,sc        ,Ashepoo Combahee Edisto Basin                     ,R         ,3B01E672  ,-5        ,0,2,P
4,ace                                               ,acefcnut  ,Fishing Creek                           ,32° 38' 8.88 N - 80° 21' 55.80 W,32.6358,80.3655,Active    ,Mar 2002 -,sc        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,2,2,P
5,ace                                               ,acefcwq   ,Fishing Creek                           ,32° 38' 8.88 N - 80° 21' 55.80 W,32.6358,80.3655,Active    ,Oct 2002-,sc        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,1,2,P
6,ace                                               ,acemcnut  ,Mosquito Creek                          ,32° 33' 20.88 N - 80° 26' 16.80 W,32.5558,80.438,Active    ,Mar 2002-,sc        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,2,2,P
7,ace                                               ,acemcwq   ,Mosquito Creek                          ,32° 33' 20.88 N - 80° 26' 16.80 W,32.5558,80.438,Active    ,Oct 2002-,sc        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,1,2,P
8,ace                                               ,acercwq   ,Rock Creek                              ,32° 32' 54.60 N - 80° 30' 12.96 W,32.5485,80.5036,Inactive  ,Mar 1996-May 1996,sc        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,1,2,P
9,ace                                               ,acespnut  ,St. Pierre                              ,32° 31' 40.44 N - 80° 21' 41.40 W,32.5279,80.3615,Active    ,Jan 2002-,sc        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,2,2,P
10,ace                                               ,acespwq   ,St. Pierre                              ,32° 31' 40.44 N - 80° 21' 41.40 W,32.5279,80.3615,Active    ,Mar 1995-,sc        ,Ashepoo Combahee Edisto Basin                     ,R         ,3B02F20A  ,-5        ,1,2,P
425,ace                                               ,aceeiwq   ,Edisto Island                           ,32° 30' 14.36 N - 80° 19' 28.92 W,32.50399,80.32470,Active    ,Jan 2015-,SC        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,1,2,P
426,ace                                               ,aceeinut  ,Edisto Island                           ,32° 30' 14.36 N - 80° 19' 28.92 W,32.50399,80.32470,Active    ,Jan 2015-,SC        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,2,2,P
436,ace                                               ,acegpwq   ,Grove Plantation                        ,32° 29' 49.32 N - 80° 24' 46.80 W,32.6637,80.4130,Active    ,Jan 2015,SC        ,Ashepoo Combahee Edisto Basin                     ,R         ,3B04B1CE  ,-5        ,1,2,S
437,ace                                               ,acejiwq   ,Jehossee Island                         ,32° 29' 49.32 N - 80° 24' 46.80 W,32.6209,80.3965,Active    ,Jan 2015,SC        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,1,2,S
478,apa                                               ,apapcwq   ,Pilots Cove                             ,29° 36' 3.60 N - 85° 01' 39.72 W,29.6010,85.0277,Active    ,Jan 2017-,FL        ,Apalachicola Bay                                  ,,,-5        ,1,4,S
479,apa                                               ,apalmwq   ,Little St Marks River                   ,29° 45' 20.48 N - 85° 00' 12.69 W,29.755689,85.003525,Active    ,Jan 2017-,FL        ,Apalachicola Bay                                  ,,,-5        ,1,4,S
